**
**Created: 12/11/2021 12:01:22 AM
**
**Fiber DEM
**Program written by Scott Stapleton
**at Institut für Textiltechnik der RWTH Aachen University
**
**-----------------------------------------
**
*GeneralOutput
**ImplicitNumericalTangent1stLSAnalysis, Load Steps = 50, Max NewtonRaphson Iterations = 10, Max NewtonRaphson Error = 1E-05, Strain = 0, 0.002, 0, 0, 0, 0
**00:00:08.4220006
**
**Iteration, E11, E22, E33, E12, E13, E23, S11, S22, S33, S12, S13, S23
38,0,0.0015200000000000014,0,0,0,0,0,6.130173201852112,1.9808175506631358,0,0,-0.053473708025054106
39,0,0.0015600000000000015,0,0,0,0,0,6.291468847224176,2.032812292327406,0,0,-0.054879480102694854
40,0,0.0016000000000000016,0,0,0,0,0,6.452763215855222,2.0848002792141798,0,0,-0.0562851789479974
41,0,0.0016400000000000017,0,0,0,0,0,3.3773893825396546,2.013992478304128,0,0,-0.2352705755764782
42,0,0.0016800000000000018,0,0,0,0,0,5.183941881050045,1.5512260224491672,0,0,-0.8106567217438667
43,0,0.001720000000000002,0,0,0,0,0,4.1326234019302035,1.121471601777517,0,0,-1.2899814036644117
44,0,0.001760000000000002,0,0,0,0,0,4.2288581369993805,1.1475237946393806,0,0,-1.3199553237459631
45,0,0.0018000000000000021,0,0,0,0,0,4.325086880810484,1.1735721011971167,0,0,-1.349930911431789
46,0,0.0018400000000000022,0,0,0,0,0,4.421320871081565,1.1996189940718722,0,0,-1.379905447270927
47,0,0.0018800000000000023,0,0,0,0,0,3.6001219601176673,1.087826194588093,0,0,-1.3413275523072419
48,0,0.0019200000000000024,0,0,0,0,0,1.653987317231865E-11,3.792078901475895E-12,0,0,-1.631466364815082E-11
49,0,0.0019600000000000025,0,0,0,0,0,-1.3829551308043067E-31,-2.7659102616086133E-31,0,0,1.4148098165649332E-16
50,0,0.0020000000000000026,0,0,0,0,0,-1.3829000318927206E-31,2.765800063785441E-31,0,0,3.5498701517165443E-16
**
**-----------------------------------------
**
*END
